ID,Time_zone,Geo_enabled,Followers,Date
7.12901E+16,Brasilia,1,1342,24
7.12901E+16,null,0,737,24
7.2429E+17,Hawaii,0,2920,24
7.2429E+17,Quito,1,24,24
7.2429E+17,Central America,1,408,24
7.2429E+17,Pacific Time (US & Canada),1,128138,24
7.2429E+17,Greenland,1,211,24
7.2429E+17,null,0,38,24
7.2429E+17,Central Time (US & Canada),1,10915,24
7.2429E+17,null,0,14,24
7.2429E+17,null,0,427,24
7.2429E+17,Pacific Time (US & Canada),0,486,24
7.2429E+17,null,0,37,24
7.2429E+17,Quito,1,119,24
7.2429E+17,Pacific Time (US & Canada),0,49,24
7.12903E+16,null,0,1457,24
7.2429E+17,null,1,78,24
7.2429E+17,null,1,24,24
7.12904E+16,Madrid,0,63,24
7.2429E+17,Quito,0,315,24
7.2429E+17,null,1,2241,24
7.2429E+17,Brasilia,1,550,24
7.2429E+17,null,1,68,24
7.2429E+17,null,0,1962,24
7.2429E+17,Brasilia,0,230,24
7.2429E+17,null,0,25,24
7.12905E+16,null,0,194,24
7.2429E+17,Central Time (US & Canada),0,1719,24
7.2429E+17,Eastern Time (US & Canada),0,120,24
7.2429E+17,null,0,3,24
7.24291E+17,Quito,1,109,24
7.24291E+17,null,0,20,24
7.24291E+17,null,1,followers_count,24
7.12906E+15,Caracas,0,727,24
7.24291E+17,Pacific Time (US & Canada),1,1110,24
7.24291E+17,null,1,1116,24
7.24291E+17,null,1,111504,24
7.24291E+17,Mountain Time (US & Canada),0,23,24
7.24291E+17,Central America,0,1678,24
7.24291E+17,Brasilia,1,1678,24
7.24291E+17,Belgrade,0,18304,24
7.24291E+17,Paris,1,177,24
7.12906E+16,Santiago,1,67,24
7.24291E+17,Brasilia,1,450,24
7.24291E+17,null,1,546,24
7.12907E+16,Mountain Time (US & Canada),0,1176,24
7.24291E+17,null,0,2661,24
7.24291E+17,Atlantic Time (Canada),0,69,24
7.24291E+17,Brasilia,1,18318,24
7.24291E+17,null,0,486,24
7.24291E+17,null,1,227,24
7.24291E+17,null,0,903,24
7.24291E+17,Brasilia,1,979,24
